Date,Time,name,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
2024-06-02,12:00,"Kankarbagh, Patna",36.0,48.1,27.0,59.95,0.0,0.0,,0,0,7.2,16.6,70.0,1003.0,27.0,5.0,980,3.5,10,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
2024-06-02,13:00,"Kankarbagh, Patna",36.0,50.1,28.0,63.56,0.0,0.0,,0,0,11.2,16.6,90.0,1003.0,50.0,5.0,997,3.6,10,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
2024-06-02,14:00,"Kankarbagh, Patna",36.3,48.4,26.9,58.65,0.0,0.0,,0,0,13.0,13.3,102.0,1002.1,61.8,5.2,950,3.4,10,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
2024-06-02,15:00,"Kankarbagh, Patna",37.0,51.5,28.0,60.17,0.0,0.0,,0,0,14.4,13.0,90.0,1001.0,50.0,6.0,844,3.0,8,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
2024-06-02,16:00,"Kankarbagh, Patna",37.0,49.4,27.0,56.75,0.0,0.0,,0,0,15.8,11.2,100.0,1000.0,27.0,6.0,686,2.5,7,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
2024-06-02,17:00,"Kankarbagh, Patna",35.7,47.8,27.0,61.1,0.0,0.0,,0,0,15.5,9.7,91.0,1000.1,3.9,5.2,490,1.8,5,10,Clear,clear-day,"42387099999,42488099999,VEPT,42492099999"
2024-06-02,18:00,"Kankarbagh, Patna",36.0,52.4,29.0,67.37,0.0,0.0,,0,0,12.6,9.4,60.0,1001.0,0.0,5.0,272,1.0,3,10,Clear,clear-day,"VEPT,42492099999"
2024-06-02,19:00,"Kankarbagh, Patna",35.0,51.0,29.0,71.19,0.0,0.0,,0,0,15.8,9.4,60.0,1001.0,27.0,4.0,68,0.2,0,10,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
2024-06-02,20:00,"Kankarbagh, Patna",33.3,45.9,27.8,72.95,0.0,0.0,,0,0,10.4,7.8,58.0,1002.2,27.0,4.0,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
2024-06-02,21:00,"Kankarbagh, Patna",34.0,49.5,29.0,75.26,0.0,0.0,,0,0,15.8,9.4,70.0,1003.0,50.0,4.0,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
