name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Kankarbagh, Patna",2024-06-03T10:00:00,37,56.4,30,67.56,0,0,,0,0,13.3,0,0,1003,27,4,723,2.6,7,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-03T11:00:00,38.1,52.9,27.9,56.37,0,0,,0,0,16.2,0,0,1002.9,42.1,4.6,875,3.2,9,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-03T12:00:00,39,54.2,28,53.99,0,0,,0,0,19.8,7.6,350,1002,50,5,972,3.5,10,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-03T13:00:00,40,51.6,26,45.49,0,0,,0,0,20.9,3.6,20,1001,50,5,994,3.6,10,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-03T14:00:00,40,54.9,27.7,50.02,0,0,,0,0,22,6.7,78,999.8,53.9,4.6,949,3.4,9,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-03T15:00:00,40,53.5,27,48.26,0,0,,0,0,23.8,7.6,50,999,88.8,4,708,2.5,7,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-03T16:00:00,39,54.2,28,53.99,0,0,,0,0,26.3,13,80,998,27,5,580,2.1,6,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-03T17:00:00,36.7,49.6,27.3,58.56,0.4,100,rain,0,0,25.6,12.2,38,998.9,84.8,3.4,484,1.7,5,10,"Rain, Partially cloudy",rain,"42387099999,42488099999,VEPT,42492099999"
"Kankarbagh, Patna",2024-06-03T18:00:00,37,49.4,27,56.75,0,0,,0,0,22.3,5.4,130,999,27,3,273,1,3,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-03T19:00:00,36,48.1,27,59.95,0,0,,0,0,16.9,7.6,150,1000,0,4,69,0.2,0,10,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-03T20:00:00,34.4,42.7,25.1,58.49,0,0,,0,0,13.7,4.6,120,1000.2,60,4,0,0,0,10,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-03T21:00:00,35,46.7,27,63.35,0,0,,0,0,13.3,7.6,110,1001,0,4,0,0,0,10,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-03T22:00:00,35,44.9,26,59.73,0,0,,0,0,16.9,9.4,140,1001,0,4,0,0,0,10,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-03T23:00:00,33.3,40,24.2,59.07,0,0,,0,0,30.2,5.7,130,1000.9,0.3,4,0,0,0,10,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-04T00:00:00,34,41.9,25,59.5,0,0,,0,0,33.1,3.6,160,1000,0,4,0,0,0,10,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-04T01:00:00,33,40.6,25,62.93,0,0,,0,0,32.4,3.6,110,1000,0,4,0,0,0,3,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-04T02:00:00,32,40.5,26,70.65,0,0,,0,0,32.4,9.4,70,1000,0,4,0,0,0,3,Clear,clear-night,VEPT
"Kankarbagh, Patna",2024-06-04T03:00:00,32,44.1,28,79.46,0,0,,0,0,28.8,7.6,80,1000,0,4,0,0,0,3,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-04T04:00:00,31,42.3,28,84.11,0,0,,0,0,17.3,7.6,90,1001,0,4,0,0,0,3,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-04T05:00:00,30.4,38.9,26.5,79.7,0,0,,0,0,6.1,10,102,1001.2,0,3.2,0,0,0,3,Clear,clear-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-04T06:00:00,31,42.3,28,84.11,0,0,,0,0,6.1,11.2,100,1002,0,4,10,0,0,5,Clear,clear-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-04T07:00:00,32,42.3,27,74.95,0,0,,0,0,3.2,14.8,100,1003,0,4,152,0.5,2,3,Clear,clear-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-04T08:00:00,32.5,41.4,26,68.91,0,0,,0,0,5,16.8,104,1002.9,0,4.6,370,1.3,4,3,Clear,clear-day,"42387099999,42488099999,VEPT,42492099999"
"Kankarbagh, Patna",2024-06-04T09:00:00,35,46.7,27,63.35,0,0,,0,0,8.6,14.8,100,1003,0,5,584,2.1,6,3,Clear,clear-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-04T10:00:00,37,49.4,27,56.75,0,0,,0,0,13.3,11.2,140,1003,0,5,769,2.8,8,3,Clear,clear-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-04T11:00:00,36.6,46.2,25.4,52.72,0,0,,0,0,14.8,11.1,96,1003,38.8,4.6,908,3.3,9,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-04T12:00:00,39,52.2,27,50.92,0,0,,0,0,14,7.6,70,1002,0,5,991,3.6,10,10,Clear,clear-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-04T13:00:00,39,52.2,27,50.92,0,0,,0,0,19.1,13,50,1001,0,5,1012,3.6,10,10,Clear,clear-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-04T14:00:00,36.6,48.8,26.9,57.77,0,0,,0,0,23,18.3,62,1001,0,4.6,965,3.5,10,10,Clear,clear-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-04T15:00:00,37,51.5,28,60.17,0,0,,0,0,26.3,16.6,60,1000,0,6,858,3.1,9,10,Clear,clear-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-04T16:00:00,36,50.1,28,63.56,0,0,,0,0,29.9,18.4,50,999,0,6,698,2.5,7,10,Clear,clear-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-04T17:00:00,35.6,47,26.7,60.38,0,0,,0,0,28.8,16.7,76,1000,43.3,5.2,487,1.8,5,10,Partially cloudy,partly-cloudy-day,"42387099999,42488099999,VEPT,42492099999"
"Kankarbagh, Patna",2024-06-04T18:00:00,36,50.1,28,63.56,0,0,,0,0,22.3,16.6,80,1000,0,5,246,0.9,2,10,Clear,clear-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-04T19:00:00,35,51,29,71.19,0,0,,0,0,22,16.6,90,1000,0,4,72,0.3,0,10,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-04T20:00:00,33.6,46,27.7,71.17,0,0,,0,0,24.5,15.5,82,1001.1,0.9,4,0,0,0,10,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-04T21:00:00,34,47.3,28,71.01,0,0,,0,0,27.4,16.6,110,1002,0,4,0,0,0,10,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-04T22:00:00,33,45.7,28,75.1,0,0,,0,0,30.2,22.3,90,1003,0,4,0,0,0,10,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-04T23:00:00,31.6,41.6,26.9,76.19,0,0,,0,0,30.2,18.3,84,1003,0,2.6,0,0,0,3,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-05T00:00:00,31,44.3,29,89.14,0,0,,0,0,32,16.6,80,1003,0,3,0,0,0,3,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-05T01:00:00,31,44.3,29,89.14,0,0,,0,0,33.5,16.6,80,1002,0,3,0,0,0,8,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-05T02:00:00,30,39.7,27.5,86.53,0,0,,0,0,37.4,14.4,84,1002.2,0,2.6,0,0,0,8,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-05T03:00:00,30,42.2,29,94.4,0,0,,0,0,29.9,16.6,80,1002,0,3,0,0,0,8,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-05T04:00:00,30,42.2,29,94.4,0,0,,0,0,27,18.4,100,1002,0,3,0,0,0,8,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-05T05:00:00,29.3,38.4,27.7,90.76,0,0,,0,0,25.6,13.3,96,1002.1,25,2.6,0,0,0,8,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-05T06:00:00,30,42.2,29,94.4,0,0,,0,0,27.4,16.6,90,1003,27,3,10,0,0,8,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-05T07:00:00,31,44.3,29,89.14,0,0,,0,0,22,18.4,80,1003,50,4,148,0.5,1,8,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-05T08:00:00,31.5,41.8,27.2,78,0,0,,0,0,15.1,15.4,90,1004,30.9,3.2,361,1.3,4,8,Partially cloudy,partly-cloudy-day,"42387099999,42488099999,VEPT,42492099999"
"Kankarbagh, Patna",2024-06-05T09:00:00,33,45.7,28,75.1,0,0,,0,0,11.2,16.6,80,1004,27,5,516,1.9,5,30,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-05T10:00:00,36,52.4,29,67.37,0,0,,0,0,9.7,9.4,70,1004,0,5,390,1.4,4,10,Clear,clear-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-05T11:00:00,36.2,48.3,26.9,58.91,0,0,,0,0,12.2,7.8,80,1003.1,8.5,4.6,837,3,8,10,Clear,clear-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-05T12:00:00,38,52.9,28,56.98,0,0,,0,0,13.7,9.4,60,1002,0,6,977,3.5,10,10,Clear,clear-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-05T13:00:00,38,52.9,28,56.98,0,0,,0,0,11.9,9.4,80,1002,0,6,995,3.6,10,10,Clear,clear-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-05T14:00:00,38.4,51.3,26.9,52.26,0,0,,0,0,13.3,9.7,66,1001,1.1,5.2,953,3.4,10,10,Clear,clear-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-05T15:00:00,39,54.2,28,53.99,0,0,,0,0,15.5,11.2,50,1000,0,6,849,3.1,8,10,Clear,clear-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-05T16:00:00,38,55.2,29,60.39,0,0,,0,0,21.2,13,60,1000,0,6,690,2.5,7,10,Clear,clear-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-05T17:00:00,36.6,48.2,26.6,56.89,0,0,,0,0,23.8,12.9,72,999.2,0,4.6,490,1.8,5,10,Clear,clear-day,"42387099999,42488099999,VEPT,42492099999"
"Kankarbagh, Patna",2024-06-05T18:00:00,36,50.1,28,63.56,0,0,,0,0,18.7,14.8,70,1000,0,5,274,1,3,10,Clear,clear-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-05T19:00:00,35,51,29,71.19,0,0,,0,0,16.2,16.6,90,1000,0,4,71,0.3,0,10,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-05T20:00:00,34.6,45.3,26.5,63.04,0,0,,0,0,14.4,15.9,98,1001.2,0,4,0,0,0,10,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-05T21:00:00,34,47.3,28,71.01,0,0,,0,0,14,20.5,100,1002,0,4,0,0,0,10,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-05T22:00:00,33,43.8,27,70.83,0,0,,0,0,26.6,18.4,90,1003,0,4,0,0,0,10,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-05T23:00:00,32.4,40.9,25.7,67.83,0,0,,0,0,35.6,15.5,92,1003.2,25,3.2,0,0,0,30,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-06T00:00:00,32,44.1,28,79.46,0,0,,0,0,34.9,13,80,1003,0,4,0,0,0,8,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-06T01:00:00,32,44.1,28,79.46,0,0,,0,0,31.7,13,90,1002,0,4,0,0,0,8,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-06T02:00:00,31,42.3,28,84.11,0,0,,0,0,28.1,9.4,100,1001,0,4,0,0,0,8,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-06T03:00:00,30,40.4,28,89.07,0,0,,0,0,24.1,14.8,70,1002,0,4,0,0,0,8,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-06T04:00:00,29,38.2,28,94.36,0,0,,0,0,26.6,20.5,70,1003,0,4,0,0,0,8,Clear,clear-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-06T05:00:00,29.2,35.9,25.9,82.56,0,0,,0,0,19.4,15.5,88,1003.2,0,3.8,0,0,0,8,Clear,clear-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-06T06:00:00,31,39.1,26,74.79,0,0,,0,0,25.9,13,130,1004,0,5,10,0,0,8,Clear,clear-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-06T07:00:00,33,40.6,25,62.93,0,0,,0,0,22.7,13,100,1005,0,5,148,0.5,1,8,Clear,clear-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-06T08:00:00,33.2,39,23.5,57.05,0,0,,0,0,18,7.8,19,1006.9,61.9,4,361,1.3,4,3,Partially cloudy,partly-cloudy-day,"42387099999,VEPT,42492099999"
"Kankarbagh, Patna",2024-06-06T09:00:00,31,35.5,23,62.5,0,0,,0,0,37.1,18.4,330,1008,88.8,2,570,2.1,6,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-06T10:00:00,33,38.1,23,55.8,0,0,,0,0,33.5,14.8,20,1007,50,4,752,2.7,8,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-06T11:00:00,33.7,38.2,22.3,51.45,0,0,,0,0,8.3,8.7,44,1005.2,53.9,5.2,891,3.2,9,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-06T12:00:00,37,44.5,24,47.49,0,0,,0,0,10.8,5.4,60,1004,50,6,973,3.5,10,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-06T13:00:00,37,44.5,24,47.49,0,0,,0,0,13,5.4,340,1003,50,6,987,3.6,10,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
